system:index,station_ID,statistic
0_0,-113.125 32.375_mean,"[0.001237335213986428, 0.0011651467237060594, 9.162147801058988E-4, 3.148499646619575E-4, 1.1881717364303768E-4, 1.6140386967653005E-4, 7.697408557823389E-4, 7.473696089277031E-4, 9.052110725038108E-4, 0.0010385483636949132, 0.0010943515145610937, 9.277378120561586E-4]"
0_1,-113.125 32.375_stdDev,"[0.00315732298749554, 0.0030625452235560394, 0.003265162679070843, 0.001387435409198369, 8.41563345242441E-4, 8.415313959531386E-4, 0.002147125337556982, 0.0018938337190106608, 0.003123913662654858, 0.0046239966751022415, 0.004880565573558594, 0.0029347126348614255]"
0_2,-113.125 32.375_skew,"[3.563224840445964, 3.602428490979728, 4.8454199587856355, 6.943125467152962, 11.744180906594506, 8.01666726407406, 5.481776040599553, 5.602682477553554, 7.120415402698725, 8.057302615239719, 8.268017292393612, 5.49946702080664]"
0_3,-113.125 32.375_pWD,"[0.22564102564102564, 0.2875816993464052, 0.24274406332453827, 0.25196850393700787, 0.1939252336448598, 0.19451371571072318, 0.35185185185185186, 0.42857142857142855, 0.35361216730038025, 0.23759791122715404, 0.24661246612466126, 0.3025936599423631]"
0_4,-113.125 32.375_pWW,"[0.6173913043478261, 0.6602316602316602, 0.6141078838174274, 0.5616438356164384, 0.5677083333333334, 0.6080402010050251, 0.8118811881188119, 0.7995283018867925, 0.7210682492581603, 0.6160337552742616, 0.6060606060606061, 0.6190476190476191]"
1_0,-112.875 32.375_mean,"[0.0012845983211365011, 0.0011412213427408804, 9.689698438911188E-4, 3.4574487446142096E-4, 1.6826823520571437E-4, 3.5947511958725313E-4, 0.0011608671783557478, 0.0010524880158226705, 0.001033740077178674, 9.711552562139295E-4, 0.0010277684298323972, 9.927166733446964E-4]"
1_1,-112.875 32.375_stdDev,"[0.002982118879787529, 0.003032973712245729, 0.003383302717207198, 0.0014386984812789392, 0.0011531020755467091, 0.0016174058260225103, 0.003014782002676458, 0.0027278799089464458, 0.0031160825899400483, 0.003497099868363677, 0.004270998798976107, 0.0029976591309072704]"
1_2,-112.875 32.375_skew,"[3.313666891500002, 4.1082357581586315, 4.946829334607663, 6.384046267372513, 11.491128828519251, 8.373752618851654, 5.338703933032555, 7.063808075174882, 5.899899039964435, 5.555838179188962, 7.5050167408295385, 5.478279503517248]"
1_3,-112.875 32.375_pWD,"[0.23056994818652848, 0.3053691275167785, 0.25336927223719674, 0.2579787234042553, 0.20763723150357996, 0.20202020202020202, 0.3469387755102041, 0.43010752688172044, 0.35271317829457366, 0.24396782841823056, 0.2452316076294278, 0.30523255813953487]"
1_4,-112.875 32.375_pWW,"[0.6196581196581197, 0.6591760299625468, 0.6184738955823293, 0.5669642857142857, 0.5671641791044776, 0.6078431372549019, 0.839622641509434, 0.8133640552995391, 0.7309941520467836, 0.631578947368421, 0.6137339055793991, 0.6231884057971014]"
2_0,-112.625 32.375_mean,"[0.001410220581412065, 0.0012257204667759547, 0.0010737181136398824, 3.902589878401695E-4, 2.4851011199371835E-4, 4.299210066690829E-4, 0.001468410833659266, 0.0013792994412165855, 0.0012062005833265064, 9.209646950834073E-4, 0.0010002672574237774, 0.0010968964110980642]"
2_1,-112.625 32.375_stdDev,"[0.0032574915386990397, 0.003327842192811623, 0.0037570852455943494, 0.001434749938687891, 0.0013348941842738586, 0.0018439775981007056, 0.0037150624454772943, 0.0036085212898953165, 0.00344536090735132, 0.002900837072050331, 0.00377825200534397, 0.0030261161099971175]"
